MesañoISIN;mes-año;mes;año;Fecha;Name ;Peso;Peso en %;ISIN 1;Sector;ISIN 2;ISIN 3;ISIN 4;;
52000-ES0109067019;52000;5;2000;1/5/00;AMADEUS;1,83;1,83%;ES0109067019;Technology;ES0184633032;;;;
52000-ES0177040013;52000;5;2000;1/5/00;ALTADIS;1,57;1,57%;ES0177040013;Consumer Non-Cyclical;;;;;
52000-ES0178419117;52000;5;2000;1/5/00;TPI;1,25;1,25%;ES0178419117;Energy;ES0178419018;;;;
52000-ES0178483139;52000;5;2000;1/5/00;SOGECABLE;1,20;1,20%;ES0178483139;Telecommunications Services;;;;;
52000-ES0113679I37;52000;5;2000;1/5/00;BANKINTER 'R';1,12;1,12%;ES0113679I37;Financials;ES0113679338;;;;
52000-ES0122060314;52000;5;2000;1/5/00;FCC;0,90;0,90%;ES0122060314;Industrial;;;;;
52000-ES0118095019;52000;5;2000;1/5/00;CARREFOUR;0,87;0,87%;ES0118095019;Consumer Non-Cyclical;;;;;
52000-ES0111845014;52000;5;2000;1/5/00;ABERTIS;0,84;0,84%;ES0111845014;Industrial;;;;;
52000-ES0125220311;52000;5;2000;1/5/00;ACCIONA;0,79;0,79%;ES0125220311;Industrial;;;;;
52000-ES0144460112;52000;5;2000;1/5/00;H.CANTABRICO;0,77;0,77%;ES0144460112;Industrial;;;;;
52000-ES0176252718;52000;5;2000;1/5/00;MELIA HOTELS INTL.;0,68;0,68%;ES0176252718;Consumer Cyclical;;;;;
52000-ES0117160111;52000;5;2000;1/5/00;COR.ALBA;0,66;0,66%;ES0117160111;Financials;ES0117160012;;;;
52000-ES0132105018;52000;5;2000;1/5/00;ACERINOX 'R';0,66;0,66%;ES0132105018;Industrial;ES0132105331;;;;
52000-ES0141330C19;52000;5;2000;1/5/00;AG.BARCELONA;0,63;0,63%;ES0141330C19;Industrial;;;;;
52000-ES0167050915;52000;5;2000;1/5/00;ACS ACTIV.CONSTR.Y SERV.;0,58;0,58%;ES0167050915;Industrial;ES0167050311;;;;
52000-ES0118096017;52000;5;2000;1/5/00;CONTINENTE;0,58;0,58%;ES0118096017;Consumer Non-Cyclical;;;;;
52000-ES0162601019;52000;5;2000;1/5/00;FERROVIAL;0,57;0,57%;ES0162601019;Industrial;ES0162601019;;;;error
52000-ES0118594417;52000;5;2000;1/5/00;INDRA SISTEMAS;0,53;0,53%;ES0118594417;Technology;ES0118594011;;;;
52000-ES0138991015;52000;5;2000;1/5/00;ACERALIA;0,44;0,44%;ES0138991015;Industrial;;;;;
52000-ES0127070110;52000;5;2000;1/5/00;DRAGADOS;0,43;0,43%;ES0127070110;Industrial;;;;;
52000-ES0178344117;52000;5;2000;1/5/00;TELEPIZZA;0,41;0,41%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
52000-ES0111847036;52000;5;2000;1/5/00;AUREA;0,34;0,34%;ES0111847036;Industrial;;;;;
52000-ES0161560018;52000;5;2000;1/5/00;NH HOTELES;0,29;0,29%;ES0161560018;Consumer Cyclical;;;;;
52000-ES0124244E34;52000;5;2000;1/5/00;MAPFRE;0,28;0,28%;ES0124244E34;Financials;ES0124244C36;ES0124244A38;;;
52000-ES0182870214;52000;5;2000;1/5/00;SACYR;0,28;0,28%;ES0182870214;Industrial;ES0182870016;;;;
62000-ES0178430E18;62000;6;2000;1/6/00;TELEFONICA;23,17;23,17%;ES0178430E18;Telecommunications Services;;;;;
62000-ES0113211835;62000;6;2000;1/6/00;BBV.ARGENTARIA;15,50;15,50%;ES0113211835;Financials;ES0113211033;;;;
62000-ES0113900J37;62000;6;2000;1/6/00;BANCO SANTANDER;14,26;14,26%;ES0113900J37;Financials;ES0113900G30;;;;
